timestamp,rides_canceled,rides_not_accomplished,rides_completed,rides_accepted,total_rides,unserved_requests_100,unserved_requests_200,unserved_requests_500,overhead_100,overhead_200,overhead_500,price_fluctuation_100,price_fluctuation_200,price_fluctuation_500
2240.0,11,12,142,193,167,0.0,0.05555555555555555,0.08888888888888889,1.5369718240876782,1.8807389160360757,1.886366349634439,1.140194659798381,1.2428676865131603,1.3192336018655055
2241.0,11,12,142,193,167,0.0,0.05555555555555555,0.08888888888888889,1.5369718240876782,1.8807389160360757,1.9073334093836263,1.140194659798381,1.2428676865131603,1.3312636228607482
2242.0,11,12,142,194,166,0.0,0.05555555555555555,0.08888888888888889,1.5369718240876782,1.8807389160360757,1.9073334093836263,1.140194659798381,1.2428676865131603,1.3312636228607482
2243.0,11,12,142,194,166,0.0,0.05555555555555555,0.08888888888888889,1.4619245515944579,1.8807389160360757,1.9073334093836263,1.0495808672553397,1.2428676865131603,1.3312636228607482
2244.0,11,12,142,194,166,0.0,0.05555555555555555,0.0898876404494382,1.4619245515944579,1.8807389160360757,1.9073334093836263,1.0495808672553397,1.2428676865131603,1.3312636228607482
2245.0,11,12,143,194,167,0.0,0.05405405405405406,0.0898876404494382,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2246.0,11,12,143,194,167,0.0,0.05405405405405406,0.0898876404494382,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2247.0,11,12,143,194,168,0.0,0.05263157894736842,0.08888888888888889,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2248.0,11,12,143,194,169,0.0,0.05128205128205128,0.08888888888888889,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2249.0,11,12,143,194,169,0.0,0.05128205128205128,0.08888888888888889,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2250.0,11,12,143,194,169,0.0,0.05128205128205128,0.08888888888888889,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2251.0,11,12,143,194,169,0.0,0.05128205128205128,0.09195402298850575,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2252.0,11,12,143,194,169,0.0,0.05128205128205128,0.09195402298850575,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2253.0,11,12,143,194,169,0.0,0.05128205128205128,0.09195402298850575,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2254.0,11,12,143,194,169,0.0,0.05128205128205128,0.09302325581395349,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2255.0,11,12,143,195,168,0.0,0.05128205128205128,0.09302325581395349,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2256.0,11,12,143,195,168,0.0,0.05128205128205128,0.09302325581395349,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2257.0,11,12,143,195,169,0.0,0.05,0.09195402298850575,1.4498910229754285,1.8715723600521956,1.9027752751306888,1.1073875914802598,1.2538143486174025,1.3333692893945273
2258.0,11,12,144,195,170,0.0,0.04878048780487805,0.09090909090909091,1.5314401847666053,1.8808950347685376,1.9059633800059042,1.1204320043490543,1.2503696069264287,1.329729537831481
2259.0,11,12,145,194,171,0.0,0.05,0.08139534883720931,1.566802935153634,1.8454273143482052,1.8894365486274038,1.0597617612184216,1.221903236107914,1.31490616323096
2260.0,11,12,145,196,169,0.0,0.05,0.08235294117647059,1.566802935153634,1.8454273143482052,1.8894365486274038,1.0597617612184216,1.221903236107914,1.31490616323096
2261.0,11,12,145,196,169,0.0,0.05,0.08235294117647059,1.566802935153634,1.8454273143482052,1.8894365486274038,1.0597617612184216,1.221903236107914,1.31490616323096
2262.0,11,12,145,196,169,0.0,0.05128205128205128,0.08333333333333333,1.566802935153634,1.8454273143482052,1.8866755504436628,1.0597617612184216,1.221903236107914,1.321301694553946
2263.0,11,12,145,196,169,0.0,0.05128205128205128,0.08333333333333333,1.566802935153634,1.8454273143482052,1.8866755504436628,1.0597617612184216,1.221903236107914,1.321301694553946
